GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024R274	SMAD4	involved_in	GO:0003198	epithelial to mesenchymal transition involved in endocardial cushion formation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97471|ensembl:ENSMUSP00000025393	9606	Ensembl		P
UniProtKB	A0A024R878	ENG	involved_in	GO:0003198	epithelial to mesenchymal transition involved in endocardial cushion formation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q63961|ensembl:ENSMUSP00000009705	9606	Ensembl		P
UniProtKB	A0A060YBJ3	GSONMT00035274001	involved_in	GO:0060317	cardiac epithelial to mesenchymal transition	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q06900	8022	AgBase		P
UniProtKB	A0A061I4T5	Gsk3b	involved_in	GO:0001837	epithelial to mesenchymal transition	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P49841|ensembl:ENSP00000264235	10029	Ensembl		P
UniProtKB	A0A061I667	Ednra	involved_in	GO:0014034	neural crest cell fate commitment	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61614|ensembl:ENSMUSP00000034029	10029	Ensembl		P
UniProtKB	A0A061IE76	Smad4	involved_in	GO:0003198	epithelial to mesenchymal transition involved in endocardial cushion formation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97471|ensembl:ENSMUSP00000025393	10029	Ensembl		P
UniProtKB	A0A087QH05	AS27_06592	involved_in	GO:0060317	cardiac epithelial to mesenchymal transition	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q06900	9233	AgBase		P
UniProtKB	A0A087QHI2	AS27_12748	involved_in	GO:0060317	cardiac epithelial to mesenchymal transition	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q90998	9233	AgBase		P
UniProtKB	A0A087QHI2	AS27_12748	involved_in	GO:0001837	epithelial to mesenchymal transition	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q90998	9233	AgBase		P
UniProtKB	A0A087QXC5	AS27_10776	involved_in	GO:0060317	cardiac epithelial to mesenchymal transition	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P61812	9233	AgBase		P
